epoch,train_loss,val_i2t_R@1
1,3.1883,24.85
2,1.1712,32.54
3,0.9416,38.07
4,0.8409,41.03
5,0.7966,42.70
6,0.7388,42.41
7,0.6913,44.18
8,0.6646,44.58
9,0.6405,44.67
10,0.6315,45.27
